Season,game_id,home_team_id,Home Team,away_team_id,Away Team,Home Shots,Home Shots Blocked,Home Power Play Opportunities,Home PIM,Home Player Hits,Home Giveaways,Home Takeaways,Home Injured Players,Away Shots,Away Shots Blocked,Away Power Play Opportunities,Away PIM,Away Player Hits,Away Giveaways,Away Takeaways,Away Injured Players
2011,2011020672,3,NY Rangers Rangers (NYR),18,Nashville Predators (NSH),29.4049707605,13.751461988500001,3.692982456,12.5840643275,21.570175439,7.190058479499999,7.399122807,2.355994152,28.560672515,13.359649123,3.5021929825,13.258040936,20.839912281,8.4130116955,7.208333333500001,2.467105263
2011,2011020608,27,Phoenix Coyotes (PHX),2,NY Islanders Islanders (NYI),30.211538461499998,13.664529914500001,3.202991453,9.450854701,22.3856837605,7.275641025500001,7.798076923,2.5202991455,30.3931623935,15.222222222,3.2681623935,9.606837606500001,22.58974359,7.842948718000001,8.8237179485,2.7104700855
2017,2017021193,9,Ottawa Senators (OTT),13,Florida Panthers (FLA),32.805832148,14.3673541965,3.3079658605000004,9.6571834995,20.553698435,10.3815789475,7.9107396869999995,2.218705548,32.660028449500004,14.61913229,3.0519203415,10.186344239,20.8065433855,11.561522048499999,7.916073968999999,2.6657183499999997
2003,2003020666,18,Nashville Predators (NSH),27,Phoenix Coyotes (PHX),28.902777778,10.6944444445,5.347222222,16.3888888885,14.611111111,9.347222222,6.166666666499999,2.138888889,27.4583333335,9.4583333335,4.4305555555,19.1805555555,16.263888889,9.0,5.6805555555,2.375
2003,2003020869,3,NY Rangers Rangers (NYR),9,Ottawa Senators (OTT),27.097222222,11.7916666665,4.1527777775,17.2222222225,21.347222222,11.7916666665,7.2222222225,2.5972222225,29.8194444445,12.2916666665,4.736111111,15.097222222500001,20.25,10.652777778,6.875,2.6805555555
2013,2013021169,23,Vancouver Canucks (VAN),26,Los Angeles Kings (LAK),29.77347561,15.3731707315,3.5231707315,11.320121951,23.328048780499998,8.144512195,5.9332317075,2.6420731705,29.438719512,12.844512195,3.1990853660000003,11.779878049,28.132317073000003,8.587804878,5.1713414635,2.8780487805
2003,2003021088,22,Edmonton Oilers (EDM),29,Columbus Blue Jackets (CBJ),30.168918919,12.22484985,4.2027027025,17.067192192,11.771396396,11.2413663665,5.581831832,2.4913663665000003,27.603603604,11.6854354355,4.893768769,14.932057057,13.1013513515,8.741741742,7.06493994,2.301051051
2016,2016020671,24,Anaheim Ducks (ANA),14,Tampa Bay Lightning (TBL),29.711948790999998,13.313655761,3.3076102415,11.542318634499999,24.255334281499998,8.420341394000001,5.5049786625,2.4022048365,29.4342105265,12.805832148,3.5867709815,11.355974395499999,20.743243243000002,9.4512802275,6.538051209000001,2.4238975815
2003,2003020819,18,Nashville Predators (NSH),14,Tampa Bay Lightning (TBL),26.767857143,10.411111111,4.4964285715,16.7095238095,13.252380952,9.261111111,6.555952381,2.175,28.6805555555,10.755555555499999,4.662698412499999,17.766269841,13.8063492065,9.979761905,6.918253968,2.480952381
2017,2017020900,54,Vegas Golden Knights (VGK),8,Montreal Canadiens (MTL),32.0845460845,16.3374913375,3.369369369,7.967082467000001,23.427234927,11.1916146915,9.010741510999999,2.632016632,32.0900900905,15.867983368,3.041233541,8.427927927999999,22.800415800499998,11.946292446000001,7.5010395015,2.736659737
