Season,team_id,Team,Total Wins
2014,2,NY Islanders Islanders (NYI),25
2015,13,Florida Panthers (FLA),21
2018,53,Arizona Coyotes (ARI),17
2008,25,Dallas Stars (DAL),15
2015,10,Toronto Maple Leafs (TOR),14
2003,8,Montreal Canadiens (MTL),17
2016,9,Ottawa Senators (OTT),20
2008,7,Buffalo Sabres (BUF),17
2009,5,Pittsburgh Penguins (PIT),26
2018,14,Tampa Bay Lightning (TBL),30
2003,23,Vancouver Canucks (VAN),20
2014,30,Minnesota Wild (MIN),17
2006,10,Toronto Maple Leafs (TOR),17
2009,14,Tampa Bay Lightning (TBL),15
2009,9,Ottawa Senators (OTT),20
2018,21,Colorado Avalanche (COL),19
2005,11,Atlanta Thrashers (ATL),16
2010,29,Columbus Blue Jackets (CBJ),19
2011,28,San Jose Sharks (SJS),19
2018,19,St Louis Blues (STL),15
2015,24,Anaheim Ducks (ANA),14
2008,9,Ottawa Senators (OTT),13
2014,10,Toronto Maple Leafs (TOR),20
2018,15,Washington Capitals (WSH),24
2008,21,Colorado Avalanche (COL),19
2018,28,San Jose Sharks (SJS),21
2006,6,Boston Bruins (BOS),19
2009,19,St Louis Blues (STL),17
2017,20,Calgary Flames (CGY),18
2008,27,Phoenix Coyotes (PHX),17
2015,8,Montreal Canadiens (MTL),21
2017,5,Pittsburgh Penguins (PIT),19
2003,30,Minnesota Wild (MIN),14
2016,5,Pittsburgh Penguins (PIT),24
2003,1,New Jersey Devils (NJD),19
2018,12,Carolina Hurricanes (CAR),16
2017,8,Montreal Canadiens (MTL),16
2010,26,Los Angeles Kings (LAK),22
2016,12,Carolina Hurricanes (CAR),16
2013,20,Calgary Flames (CGY),14
2009,15,Washington Capitals (WSH),24
2017,16,Chicago Blackhawks (CHI),18
2011,26,Los Angeles Kings (LAK),18
2015,14,Tampa Bay Lightning (TBL),18
2005,30,Minnesota Wild (MIN),18
2003,21,Colorado Avalanche (COL),17
2009,6,Boston Bruins (BOS),20
2006,14,Tampa Bay Lightning (TBL),18
2005,25,Dallas Stars (DAL),24
2005,19,St Louis Blues (STL),9
2010,17,Detroit Red Wings (DET),24
2014,16,Chicago Blackhawks (CHI),25
2014,12,Carolina Hurricanes (CAR),10
2008,22,Edmonton Oilers (EDM),17
2017,18,Nashville Predators (NSH),23
2011,10,Toronto Maple Leafs (TOR),18
2015,15,Washington Capitals (WSH),28
2015,3,NY Rangers Rangers (NYR),21
2015,2,NY Islanders Islanders (NYI),21
2010,2,NY Islanders Islanders (NYI),10
2014,15,Washington Capitals (WSH),18
2008,10,Toronto Maple Leafs (TOR),15
2006,19,St Louis Blues (STL),12
2006,2,NY Islanders Islanders (NYI),19
2015,1,New Jersey Devils (NJD),19
2005,21,Colorado Avalanche (COL),19
2005,23,Vancouver Canucks (VAN),21
2005,2,NY Islanders Islanders (NYI),17
2006,18,Nashville Predators (NSH),26
2006,9,Ottawa Senators (OTT),21
2011,19,St Louis Blues (STL),21
2015,28,San Jose Sharks (SJS),18
2016,24,Anaheim Ducks (ANA),18
2011,29,Columbus Blue Jackets (CBJ),10
2016,25,Dallas Stars (DAL),16
2018,4,Philadelphia Flyers (PHI),15
2016,14,Tampa Bay Lightning (TBL),18
2010,12,Carolina Hurricanes (CAR),17
2008,30,Minnesota Wild (MIN),18
2016,22,Edmonton Oilers (EDM),19
2011,18,Nashville Predators (NSH),20
2017,25,Dallas Stars (DAL),21
