Season,team_id,Team,Shots,Shots Blocked,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2010,21,Colorado Avalanche (COL),31.162162162,11.486486486,3.918918919,12.054054054,22.675675676,6.810810811,8.891891892,2.405405405
2011,3,NY Rangers Rangers (NYR),29.805555556,12.166666667,3.583333333,15.805555556,23.916666667,8.194444444,6.916666667,2.75
2009,8,Montreal Canadiens (MTL),32.651162791,14.558139535,4.372093023,10.255813953,20.674418605,12.674418605,6.279069767,2.186046512
2017,18,Nashville Predators (NSH),32.842105263,14.184210526,4.210526316,11.921052632,19.710526316,8.526315789,6.736842105,2.631578947
2016,6,Boston Bruins (BOS),27.230769231,16.230769231,3.358974359,9.230769231,23.897435897,10.743589744,9.410256410,2.564102564
2011,7,Buffalo Sabres (BUF),30.945945946,14.135135135,3.621621622,13.621621622,20.081081081,8.405405405,6.378378378,2.729729730
2014,13,Florida Panthers (FLA),30.257142857,12.857142857,3.428571429,8.971428571,27.914285714,6.285714286,4.857142857,2.714285714
2018,1,New Jersey Devils (NJD),31.315789474,11.842105263,3.289473684,9.131578947,21.184210526,8.526315789,7.763157895,2.526315789
2017,24,Anaheim Ducks (ANA),34.2,13.375,3.675,8.975,20.925,11.625,7.1,2.55
2018,6,Boston Bruins (BOS),31.230769231,13.564102564,2.948717949,10.128205128,26.076923077,12,12,2.589743590
2010,19,St Louis Blues (STL),28.111111111,13.388888889,3.833333333,17.666666667,22.972222222,6.361111111,6.472222222,2.333333333
2014,52,Winnipeg Jets (WPG),28.210526316,16.631578947,3.947368421,11.842105263,22.710526316,11.447368421,6.526315789,2.605263158
2016,53,Arizona Coyotes (ARI),34.638888889,13.916666667,3.5,10.583333333,20.277777778,6.916666667,5,2.611111111
2011,4,Philadelphia Flyers (PHI),28.194444444,15.055555556,4.583333333,18.416666667,23.222222222,7.138888889,8.138888889,2.388888889
2008,7,Buffalo Sabres (BUF),29.540540541,13.378378378,4.054054054,15.135135135,19.405405405,9.567567568,6.189189189,2.351351351
2013,13,Florida Panthers (FLA),29.341463415,13.634146341,3.121951220,11.975609756,26.146341463,6.146341463,6.585365854,2.609756098
2003,8,Montreal Canadiens (MTL),28.578947368,11.736842105,3.736842105,13.894736842,16.368421053,14.394736842,7.710526316,2.736842105
2013,3,NY Rangers Rangers (NYR),28.780487805,15.536585366,3.097560976,11.195121951,22.365853659,8.195121951,5.731707317,2.756097561
2011,14,Tampa Bay Lightning (TBL),30.621621622,13.324324324,4.081081081,10.432432432,20.459459459,7.054054054,7.567567568,2.324324324
2003,22,Edmonton Oilers (EDM),27.540540541,11.648648649,4.648648649,14.891891892,11.702702703,10.594594595,8.324324324,2.324324324
2014,12,Carolina Hurricanes (CAR),27.805555556,15.777777778,2.75,8.25,26.333333333,7.666666667,7.944444444,2.611111111
2009,21,Colorado Avalanche (COL),32.292682927,11.048780488,3.902439024,13.804878049,19.317073171,7.487804878,6.853658537,2.243902439
2009,20,Calgary Flames (CGY),30.435897436,14.743589744,3.948717949,15.410256410,19.538461538,9.256410256,5.897435897,2.282051282
2010,9,Ottawa Senators (OTT),31.236842105,13.947368421,3.842105263,11.157894737,21.631578947,10.394736842,7.473684211,2.394736842
