Season,team_id,Team,Shots,Shots Blocked,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2009,13,Florida Panthers (FLA),5.929586832,4.564354646,2.241279397,6.396613687,6.177108277,4.241462012,5.387330817,0.830662386
2017,26,Los Angeles Kings (LAK),4.978286184,5.608029957,1.537042615,6.379328596,8.266145817,3.300883720,5.022864389,0.577350269
2018,9,Ottawa Senators (OTT),7.256056940,4.779181908,1.361345243,6.225240814,7.563140020,5.278991724,5.123828958,0.464305621
2017,21,Colorado Avalanche (COL),5.352487535,4.909115522,1.565340984,5.617433182,5.964809081,5.173594676,4.525431710,0.683985568
2017,20,Calgary Flames (CGY),6.878456069,4.019361039,1.635140425,13.756816492,6.496152708,4.283075629,3.400851287,0.366347549
2015,8,Montreal Canadiens (MTL),5.078469225,6.992058988,1.954548909,2.913233273,9.847364532,4.576153021,2.632129285,0.618346942
2016,10,Toronto Maple Leafs (TOR),7.026682646,6.358215204,1.492672159,4.285839597,8.789281085,4.161927129,4.621966367,0.671038298
2003,14,Tampa Bay Lightning (TBL),5.734031817,3.997251803,1.398586414,9.858337242,6.670008320,4.410900583,3.759237706,0.611249846
2006,30,Minnesota Wild (MIN),5.608056027,5.247667262,0.991189256,4.067414369,6.994149602,7.034584573,3.904563232,0.898341552
2016,19,St Louis Blues (STL),4.217920065,5.274491581,1.576999716,5.943085178,6.606592073,5.108304145,2.071436621,0.783823376
2015,7,Buffalo Sabres (BUF),6.244365049,2.946157141,1.562910025,3.406573511,8.004939187,3.449236611,3.232737677,0.448977759
2010,13,Florida Panthers (FLA),8.629813683,5.883866334,1.428613199,4.787288236,8.091581070,5.558303414,3.380369889,0.582392725
2014,14,Tampa Bay Lightning (TBL),8.851688028,3.521363372,1.397276262,3.090692633,9.272591460,5.902380472,3.369329451,0.915475416
2005,21,Colorado Avalanche (COL),7.094104298,3.740250484,2.067289097,4.839530208,3.845708476,5.079370040,5.296473504,0.887041208
2005,20,Calgary Flames (CGY),8.197560613,4.509249753,2.434988022,4.112987560,8.057087977,7.899367063,4.170831252,0.957427108
2006,9,Ottawa Senators (OTT),5.633027086,4.193422865,2.310666849,8.252236982,4.991806152,4.432733108,5.641844500,0.779863536
2013,12,Carolina Hurricanes (CAR),6.211548385,5.049752469,1.193035345,4.768997099,7.652232790,4.541292033,3.431714829,0.583095189
2018,28,San Jose Sharks (SJS),6.101480982,6.795251180,1.870047064,4.117428369,5.655303364,5.347021907,6.121097635,0.418853908
2015,3,NY Rangers Rangers (NYR),6.865300645,3.873932491,1.414213562,4.003674783,10.634640955,5.052663829,2.511737154,0.587867532
2008,18,Nashville Predators (NSH),6.483898185,3.359546057,2.063324972,9.103691173,7.646808760,5.590823727,3.633824206,0.606976979
2017,14,Tampa Bay Lightning (TBL),6.629898608,3.842742077,1.509230856,5.896326540,5.715476066,4.263540521,3.765338999,0.316227766
2006,29,Columbus Blue Jackets (CBJ),6.226986616,4.293363601,2.449119925,8.110536178,5.418700844,4.887131876,3.495079357,0.675663925
2015,5,Pittsburgh Penguins (PIT),5.816391438,4.731380867,1.056862841,5.336621793,7.607706158,3.922494731,2.969631871,0.597264720
2009,16,Chicago Blackhawks (CHI),5.345738777,5.331329752,1.573009528,4.482158363,8.139016510,5.449064846,3.854734019,0.776250026
2014,21,Colorado Avalanche (COL),8.173513572,3.701831616,1.781547935,7.480144997,9.351713504,3.763775751,4.651065584,0.634950435
2014,20,Calgary Flames (CGY),5.690549441,5.881176353,1.539246909,4.654395631,8.567303707,3.772968873,4.680651315,0.501631326
2013,9,Ottawa Senators (OTT),9.970790674,3.867815921,1.457166200,7.756287772,7.863841301,6.324555320,3.673327284,0.556776436
2006,1,New Jersey Devils (NJD),6.611858034,4.978286184,1.905037182,6.386183002,8.105296622,4.032679010,3.893905494,0.930949336
2005,24,Anaheim Ducks (ANA),6.168275208,4.682795258,2.270934358,6.621753472,8.076420707,3.293572384,3.827220799,0.864649668
2011,2,NY Islanders Islanders (NYI),5.589020858,4.312863378,1.616368838,5.820096029,6.294799912,4.284358905,4.979404222,0.662370876
2018,53,Arizona Coyotes (ARI),4.750028480,4.056153468,1.241420775,3.241038260,9.893042726,4.707919091,3.566316688,0.567900363
2013,30,Minnesota Wild (MIN),7.002936923,4.055086059,1.688386612,6.426406562,6.148240870,4.996968778,3.198010745,0.595800600
2017,15,Washington Capitals (WSH),5.138093031,4.908750690,1.721191448,4.106904755,4.697517075,4.787135539,4.333974312,0.632455532
2003,23,Vancouver Canucks (VAN),4.556713329,3.492849839,1.341640786,8.642390242,8.558886928,10.916209798,6.315925038,1.439696938
2003,16,Chicago Blackhawks (CHI),5.446512844,4.884155849,2.719577889,13.510617918,8.267314246,5.079455266,4.022932100,0.740012870
2003,26,Los Angeles Kings (LAK),6.161371601,2.322893311,1.730847577,12.195627632,4.707706448,7.446475676,5.160345596,0.816496581
2003,20,Calgary Flames (CGY),4.190954851,4.361839179,1.187542172,7.195083792,8.166535844,10.695673700,3.174416966,0.630425172
2003,21,Colorado Avalanche (COL),3.736794932,2.796101182,1.694912173,4.027180381,6.218740007,6.112580172,5.393598900,1.167748416
2014,17,Detroit Red Wings (DET),7.805645686,4.713005230,1.371988681,2.995094028,8.299933065,3.438060709,3.987316492,0.840168050
2017,53,Arizona Coyotes (ARI),6.672569631,3.575087412,1.693202730,6.563584780,6.436961691,4.988696901,4.902167888,0.482558704
2018,25,Dallas Stars (DAL),4.765249452,4.867844126,1.663154193,3.761143288,8.166398134,4.619435170,3.205441280,0.606976979
2015,4,Philadelphia Flyers (PHI),6.078455318,5.510163769,1.860619456,9.449363798,7.522664168,4.769446409,3.754996671,0.597614305
2006,6,Boston Bruins (BOS),5.422583495,3.592271115,1.938389265,7.323913290,8.400367639,3.807886553,4.317372567,0.600245048
2003,24,Anaheim Ducks (ANA),6.003507747,4.120232492,1.744163199,6.820248491,7.058216563,5.817396777,7.047956031,0.923380517
2005,23,Vancouver Canucks (VAN),4.999264652,4.758119995,2.084607454,9.247018597,5.787918451,6.950454915,9.408225437,0.606339063
2010,17,Detroit Red Wings (DET),6.737761935,5.580414469,1.450022104,3.753630721,6.436076206,3.775766181,4.752866881,0.759554525
2016,29,Columbus Blue Jackets (CBJ),5.854722690,6.057593948,1.333333333,3.480102170,7.314369419,7.429296363,2.783882181,0.527046277
2017,5,Pittsburgh Penguins (PIT),5.739979828,4.757265911,1.569445091,4.404244364,8.437229528,5.094889080,4.135850959,0.410391341
2005,16,Chicago Blackhawks (CHI),6.540287633,4.919460027,2.239306311,17.938249555,4.892874144,5.559787036,3.526041834,0.974307632
2017,4,Philadelphia Flyers (PHI),6.871107714,4.846786770,1.405000347,4.564117530,6.301411922,4.328502135,2.555022217,0.501081082
2010,16,Chicago Blackhawks (CHI),6.998746755,5.002923122,1.535162905,4.366271577,5.152073335,3.501879195,3.639452436,0.683985568
2017,2,NY Islanders Islanders (NYI),5.515278837,5.414818689,1.433720878,7.745966692,5.392139037,4.161761819,5.229691502,0.615698763
2009,12,Carolina Hurricanes (CAR),5.737698342,5.065822892,1.883294462,10.088646499,6.899168223,4.515708761,5.509061054,0.633622784
2010,8,Montreal Canadiens (MTL),8.754643959,3.703028261,1.909727421,3.451342450,5.565122482,4.458963214,4.997057958,0.685994341
2008,19,St Louis Blues (STL),5.113339912,4.348003949,1.953005184,10.161930040,4.901802524,4.367504873,3.659413115,0.593109312
2011,15,Washington Capitals (WSH),6.015299122,4.576153021,1.819017188,3.057055484,6.829326898,4.355523876,3.712063007,0.469668218
2015,18,Nashville Predators (NSH),5.457437653,5.533523565,1.154700538,3.461568451,6.907915622,3.381234765,3.215459732,0.768533197
2006,25,Dallas Stars (DAL),4.607685887,5.258169990,2.164904891,5.621778687,8.774651303,6.696316849,4.499694739,1.016349858
2009,10,Toronto Maple Leafs (TOR),5.669179935,5.395735364,1.599501347,6.985332619,7.295551468,7.010980399,3.856396618,0.718101327
2013,29,Columbus Blue Jackets (CBJ),4.125729635,3.803905489,1.120451362,6.823691857,5.383355782,4.617864801,2.435754592,0.631085096
2006,5,Pittsburgh Penguins (PIT),4.862881764,4.864350395,2.379475733,6.981949516,7.439598043,5.642103627,4.794838495,0.669043382
2018,13,Florida Panthers (FLA),5.647165323,6.462345144,1.465475707,4.523483698,7.915927284,4.749937343,5.113474264,0.478091444
2006,10,Toronto Maple Leafs (TOR),5.956031254,5.495596512,2.799632952,6.989828861,7.070508812,5.610196815,3.871962663,0.638055346
2009,9,Ottawa Senators (OTT),5.010252646,3.856300381,1.669383750,6.178059651,7.823715634,4.222745428,3.612842590,0.656946685
2010,20,Calgary Flames (CGY),7.075443786,4.651164729,2.248809209,6.705363880,11.209902085,3.799122706,3.932162861,0.597614305
2010,21,Colorado Avalanche (COL),5.379700407,3.601470288,1.390619836,6.423761039,8.118153224,5.517352306,2.592409735,0.795206226
2011,3,NY Rangers Rangers (NYR),4.854287029,4.918567646,1.863963244,8.305080311,5.597618541,5.431390246,2.328750077,0.493548117
2009,8,Montreal Canadiens (MTL),8.232682204,4.734738527,1.849885921,6.534126200,7.625004435,6.654263354,2.521337514,0.751621624
2017,18,Nashville Predators (NSH),6.587867637,4.807731868,1.069044968,8.675087484,6.192929917,5.878127334,4.270608298,0.639940473
2016,6,Boston Bruins (BOS),4.673553815,4.682929058,1.311220136,4.867243417,7.429985085,3.022334019,3.909801748,0.653376296
2011,7,Buffalo Sabres (BUF),6.496962853,5.386142062,1.598519051,8.224482067,6.835472494,3.809959248,3.201973076,0.470162346
2014,13,Florida Panthers (FLA),7.326152784,4.621966367,2.143942916,9.587699234,8.618964538,5.173029472,3.342968531,0.606976979
2018,1,New Jersey Devils (NJD),5.934757272,4.183063915,1.321754733,3.813850357,8.320886620,5.912069787,4.913882890,0.510753918
2017,24,Anaheim Ducks (ANA),6.470880494,4.361629228,1.896111309,6.353919607,5.558231679,4.809802401,3.538593650,0.492365964
2018,6,Boston Bruins (BOS),6.361649805,3.019002995,1.878672873,5.279136392,9.777257859,4.527692569,5.285632270,0.615698763
2010,19,St Louis Blues (STL),4.750386981,2.935582916,1.311711948,10.256274980,8.760288069,5.487284767,3.723928981,0.903424856
2014,52,Winnipeg Jets (WPG),3.619311427,5.164543990,1.565340984,12.271776205,6.300468747,4.527369658,3.606362149,0.582392725
2016,53,Arizona Coyotes (ARI),8,5.668039050,1.864582169,9.124143795,4.639324663,5.602677931,3.431714829,0.5
2011,4,Philadelphia Flyers (PHI),6.580023047,3.646464493,2.248320496,14.794563896,6.617077473,2.437121343,3.305007855,0.646206173
2013,13,Florida Panthers (FLA),5.891976291,5.771015109,1.478044446,11.204738009,8.091020664,4.787323003,3.082456563,0.581774474
2008,7,Buffalo Sabres (BUF),6.505867797,4.934038593,1.713721712,10.178796330,7.409808578,5.668704484,7.545650542,0.523148364
2003,8,Montreal Canadiens (MTL),8.558191810,4.643939757,1.936491673,6.663663539,4.344536799,5.852349955,4.451536417,0.685994341
2013,3,NY Rangers Rangers (NYR),6.391214208,4.758951465,1.458962449,5.830135178,5.286550770,4.392092462,3.201190255,0.483045892
2011,14,Tampa Bay Lightning (TBL),6.579673644,4.498830257,2.022895267,5.977809844,5.300198606,2.846974387,5.476024297,0.640723276
2003,22,Edmonton Oilers (EDM),7.270508519,4.313965011,2.088131729,13.643841533,5.743282521,4.639979716,5.646446045,1.046703509
2014,12,Carolina Hurricanes (CAR),6.375433620,6.209669879,1.423430310,4.101031765,7.928526878,4.795671125,3.706127982,0.577794214
2009,21,Colorado Avalanche (COL),7.560648034,4.434343096,1.742397117,6.670832032,7.754610688,4.672265549,2.933355615,0.732084498
2009,20,Calgary Flames (CGY),7.919633087,5.550569658,1.390619836,7.432539745,9.460055341,6.470521390,2.555271368,0.717430054
2010,9,Ottawa Senators (OTT),5.860573380,4.628165233,1.675517624,6.837634588,5.117028697,4.618802154,3.050796504,0.492365964
2015,30,Minnesota Wild (MIN),7.066352194,4.158825956,1.869714773,7.054254036,5.867637230,4.090130397,2.337199179,0.447213595
2011,24,Anaheim Ducks (ANA),7.483417566,4.347943811,2.009592381,4.763967319,5.342428143,3.437351395,3.418501696,0.567043615
