team_id,team,game_id,type,season,date_time_GMT,HoA,won,goals,shots,hits,pim,powerPlayOpportunities,injured_player_count,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,blocked
23,Vancouver Canucks (VAN),2013020073,R,2013,October,home,False,1,40,19,6,3,2,0,46.5,8,4,16
9,Ottawa Senators (OTT),2014020189,R,2014,November,home,True,3,17,36,15,5,3,1,49.2,14,8,13
52,Winnipeg Jets (WPG),2016020335,R,2016,November,home,True,3,29,17,8,5,2,0,55.2,17,9,15
19,St Louis Blues (STL),2007020444,R,2007,December,home,False,4,24,23,20,6,,1,,2,4,11
15,Washington Capitals (WSH),2018020553,R,2018,December,away,True,4,33,28,4,3,3,0,36,14,3,16
6,Boston Bruins (BOS),2000020498,R,2000,December,home,True,4,27,,44,8,,2,,,,
22,Edmonton Oilers (EDM),2007020046,R,2007,October,away,False,0,21,4,2,4,,0,,4,2,18
5,Pittsburgh Penguins (PIT),2010020105,R,2010,October,away,False,0,31,30,11,4,3,0,45.7,8,4,10
18,Nashville Predators (NSH),2018020573,R,2018,December,home,False,0,49,17,6,3,2,0,52.2,11,3,16
1,New Jersey Devils (NJD),2014020423,R,2014,December,away,False,1,18,20,10,2,2,1,39.3,6,3,11
7,Buffalo Sabres (BUF),2005020358,R,2005,November,away,True,3,29,16,14,7,2,1,,8,6,18
27,Phoenix Coyotes (PHX),2011020090,R,2011,October,home,False,0,28,24,11,3,2,0,50,9,4,13
22,Edmonton Oilers (EDM),2013020504,R,2013,December,away,False,2,25,23,17,2,3,0,55.4,7,5,17
28,San Jose Sharks (SJS),2000020351,R,2000,November,home,True,4,33,,12,4,,0,,,,
16,Chicago Blackhawks (CHI),2002020465,R,2002,December,home,True,3,26,1,12,4,,1,,0,0,0
25,Dallas Stars (DAL),2003020518,R,2003,December,home,True,2,17,20,16,4,4,1,,37,8,10
9,Ottawa Senators (OTT),2016020519,R,2016,December,away,False,3,36,19,19,4,2,0,58.6,11,8,11
10,Toronto Maple Leafs (TOR),2011020265,R,2011,November,away,False,1,39,15,11,2,3,1,67.2,8,7,8
23,Vancouver Canucks (VAN),2008020053,R,2008,October,away,True,4,29,14,12,4,3,0,,3,7,18
