Season,team_id,Team,Shots,Blocked Shots,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2017,21,Colorado Avalanche (COL),29.648648649,15.243243243,4.108108108,10.108108108,17.378378378,6.405405405,7.270270270,2.540540541
2013,27,Phoenix Coyotes (PHX),32.131578947,13.947368421,3.421052632,10.605263158,27.078947368,5.842105263,6.631578947,2.868421053
2003,28,San Jose Sharks (SJS),27.027027027,8.837837838,4.324324324,15.378378378,14.135135135,8.621621622,3.972972973,2.621621622
2011,21,Colorado Avalanche (COL),31.641025641,12.666666667,3.256410256,12.051282051,21.717948718,6.076923077,9.435897436,2.846153846
2016,2,NY Islanders Islanders (NYI),29.628571429,19,2.8,9.4,25.714285714,9.942857143,7.257142857,2.657142857
2008,17,Detroit Red Wings (DET),36.611111111,9.166666667,4.222222222,10.583333333,18.444444444,7.027777778,5.916666667,1.916666667
2010,30,Minnesota Wild (MIN),25.432432432,13.810810811,3.810810811,11.297297297,23.378378378,7.864864865,6.378378378,2.405405405
2016,19,St Louis Blues (STL),28.351351351,13.459459459,3.135135135,9.864864865,19.513513514,5.135135135,6.540540541,2.729729730
2010,18,Nashville Predators (NSH),29.432432432,11.594594595,3.567567568,9.621621622,20.864864865,7.972972973,7.648648649,2.351351351
2011,7,Buffalo Sabres (BUF),29.054054054,12.594594595,3.702702703,12.459459459,17.675675676,8.351351351,6.270270270,2.810810811
2011,12,Carolina Hurricanes (CAR),29.975,15.1,4.2,9.925,20.125,7.425,6.775,2.425
2005,10,Toronto Maple Leafs (TOR),27.921052632,14.052631579,6.473684211,17.368421053,20.921052632,10.526315789,5.789473684,2.131578947
2018,54,Vegas Golden Knights (VGK),32.619047619,13.428571429,3.047619048,7.523809524,26.952380952,9.428571429,10.452380952,2.809523810
2010,6,Boston Bruins (BOS),33.194444444,15,3.527777778,13.861111111,22.555555556,5.916666667,5.027777778,2.305555556
2003,18,Nashville Predators (NSH),26.25,10.222222222,5.25,17.333333333,13.333333333,9.722222222,6.083333333,1.75
2013,19,St Louis Blues (STL),29.384615385,13.974358974,3.564102564,13.564102564,21.102564103,4.076923077,6.974358974,2.512820513
2018,23,Vancouver Canucks (VAN),28.333333333,14.880952381,3.214285714,9.928571429,21.642857143,7.404761905,6.214285714,2.785714286
2003,15,Washington Capitals (WSH),25.216216216,11.054054054,4.216216216,13.135135135,12.567567568,13.081081081,7.297297297,2.702702703
2003,9,Ottawa Senators (OTT),30,10.472222222,4.583333333,13.666666667,25.111111111,13.777777778,7.944444444,2.944444444
2009,12,Carolina Hurricanes (CAR),30.512820513,12.692307692,4.256410256,13.487179487,28.307692308,6.923076923,7.820512821,2.102564103
2013,14,Tampa Bay Lightning (TBL),29.512820513,12.179487179,3.461538462,10.871794872,21.025641026,7.461538462,6.589743590,2.615384615
2005,8,Montreal Canadiens (MTL),31.222222222,12.305555556,6.305555556,16.861111111,19.027777778,11,11.5,2.222222222
2006,3,NY Rangers Rangers (NYR),30.1,17.3,5.425,14.3,21.35,10.175,7.65,2.5
2003,11,Atlanta Thrashers (ATL),26.615384615,11.897435897,4.897435897,17.923076923,16.282051282,10.025641026,5.923076923,2.666666667
2011,3,NY Rangers Rangers (NYR),27.388888889,16.055555556,3.833333333,15.194444444,26.666666667,6.222222222,7.166666667,2.027777778
2006,25,Dallas Stars (DAL),28,13.051282051,5.769230769,15.538461538,19.076923077,9.128205128,7.897435897,2.641025641
2014,13,Florida Panthers (FLA),31.4,12.028571429,3.114285714,9.257142857,27.428571429,4.771428571,5.685714286,2.457142857
2011,30,Minnesota Wild (MIN),26.675,16.2,3.45,12.05,21.925,7.15,6.55,2.575
2009,7,Buffalo Sabres (BUF),30.871794872,12.487179487,4.333333333,12.076923077,16.487179487,10.846153846,5.794871795,2.692307692
2017,52,Winnipeg Jets (WPG),31.717948718,15.076923077,3.641025641,8.974358974,21.974358974,9.923076923,6.820512821,2.897435897
2013,7,Buffalo Sabres (BUF),26.487179487,13.974358974,3.025641026,11.205128205,25.461538462,7.076923077,6.051282051,2.846153846
2009,21,Colorado Avalanche (COL),25.902439024,16.439024390,3.878048780,12.878048780,17.975609756,7.390243902,8.195121951,2.926829268
2017,19,St Louis Blues (STL),33.243902439,15.170731707,3.463414634,8.317073171,22.317073171,5.365853659,7.780487805,2.707317073
2018,10,Toronto Maple Leafs (TOR),31.666666667,13.641025641,2.692307692,6.743589744,16.666666667,11.820512821,9.282051282,2.743589744
2017,15,Washington Capitals (WSH),28.825,14.725,3.075,10.325,22.525,11.725,7.125,2.75
2009,2,NY Islanders Islanders (NYI),29.512195122,17.609756098,3.853658537,11.658536585,22.121951220,9.926829268,11.268292683,2.804878049
2008,14,Tampa Bay Lightning (TBL),30,13.277777778,4.555555556,15.305555556,21.222222222,8.027777778,6.416666667,2.416666667
2006,8,Montreal Canadiens (MTL),29.631578947,15.526315789,4.526315789,15.342105263,21.526315789,11.026315789,9.894736842,2.473684211
2011,27,Phoenix Coyotes (PHX),29.923076923,13.051282051,3.128205128,8.512820513,24.410256410,6.051282051,5.846153846,2.512820513
2015,53,Arizona Coyotes (ARI),26.888888889,12.638888889,3.75,11.111111111,21.972222222,5.777777778,5.472222222,2.861111111
