Season,team_id,Team,Total Wins,Shots,Blocked Shots,Goals,Power Play Goals,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players,Standing
2009,23,Vancouver Canucks (VAN),23,30.5,12.125,3.075,0.925,4.175,15.05,16.725,6.925,7.425,2.5,5
2003,29,Columbus Blue Jackets (CBJ),9,27.666666667,11.722222222,2.055555556,0.722222222,5.138888889,14.972222222,14.5,6.888888889,5.805555556,2.277777778,
2010,1,New Jersey Devils (NJD),10,30.216216216,10.594594595,1.702702703,0.486486486,3.216216216,12.108108108,20.945945946,9.243243243,5.621621622,1.945945946,
2014,17,Detroit Red Wings (DET),19,30.756756757,11.216216216,2.810810811,0.918918919,3.783783784,8.405405405,19.405405405,7.783783784,4.891891892,3.027027027,12
2005,5,Pittsburgh Penguins (PIT),10,28.783783784,15.108108108,2.783783784,1.054054054,6.405405405,17.486486486,12.891891892,7.945945946,4.216216216,2.756756757,
2011,23,Vancouver Canucks (VAN),24,32,11.868421053,3.342105263,0.947368421,3.815789474,13.973684211,22.368421053,6.763157895,6.289473684,2.421052632,1
2009,16,Chicago Blackhawks (CHI),26,33.461538462,13.256410256,3,0.743589744,3.717948718,11.230769231,19.974358974,6.666666667,8.230769231,1.538461538,3
2008,20,Calgary Flames (CGY),21,31.388888889,9.333333333,3.027777778,0.833333333,4.694444444,16.138888889,18.611111111,8.861111111,6.611111111,2.75,10
2017,23,Vancouver Canucks (VAN),16,29.487179487,12.948717949,2.717948718,0.717948718,3.384615385,9.769230769,18.179487179,9.282051282,5.641025641,2.666666667,
2013,8,Montreal Canadiens (MTL),23,28.475,18.9,2.4,0.7,3.425,11.45,19.85,7.55,5.325,2.35,9
2011,22,Edmonton Oilers (EDM),15,26.216216216,14.783783784,2.675675676,0.810810811,4.027027027,13.405405405,18.108108108,11.486486486,7.270270270,2.567567568,
2009,11,Atlanta Thrashers (ATL),18,28.512820513,12.153846154,3.102564103,0.769230769,3.666666667,13.179487179,17.384615385,8.794871795,9.282051282,2.512820513,
2005,12,Carolina Hurricanes (CAR),23,30.054054054,14.891891892,3.594594595,1.243243243,6.648648649,13.810810811,13.270270270,6,6.216216216,2.729729730,4
2016,17,Detroit Red Wings (DET),16,28.888888889,12.722222222,2.333333333,0.416666667,3.472222222,10.388888889,20,7.5,5.555555556,2.388888889,
2018,6,Boston Bruins (BOS),21,32.871794872,12.538461538,2.794871795,0.846153846,3.179487179,10.743589744,23.358974359,9.769230769,8.564102564,2.512820513,3
2013,1,New Jersey Devils (NJD),17,25.365853659,10.170731707,2.365853659,0.512195122,2.878048780,7.804878049,19.878048780,6.878048780,5.536585366,2.829268293,
2014,5,Pittsburgh Penguins (PIT),22,30.805555556,13.861111111,2.972222222,0.75,3.333333333,15.638888889,29.361111111,6.916666667,5.25,2.444444444,15
2017,7,Buffalo Sabres (BUF),10,30.894736842,14.105263158,2.210526316,0.368421053,2.973684211,7.842105263,23.578947368,7.263157895,5.552631579,2.842105263,
2014,2,NY Islanders Islanders (NYI),25,32.972972973,15.540540541,3,0.702702703,3.702702703,9.594594595,29.432432432,9.837837838,8.567567568,2.972972973,10
2015,13,Florida Panthers (FLA),21,28.567567568,11.189189189,2.594594595,0.621621622,3.486486486,9.216216216,26.027027027,5.972972973,5.567567568,2.675675676,7
