Season,team_id,Team,Total Wins,Shots,Blocked Shots,Goals,Power Play Goals,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players,Standing
2015,25,Dallas Stars (DAL),27,32.473684211,14.342105263,3.447368421,0.763157895,3.236842105,8.947368421,17.684210526,10.921052632,7.210526316,2.842105263,2
2011,14,Tampa Bay Lightning (TBL),17,28.351351351,15.405405405,2.756756757,0.513513514,3.486486486,11.783783784,20.810810811,6.297297297,7.135135135,2.513513514,
2011,24,Anaheim Ducks (ANA),10,26.25,13.555555556,2.333333333,0.611111111,3.611111111,13.666666667,23.888888889,8.138888889,4.777777778,2.388888889,
2008,6,Boston Bruins (BOS),28,30.054054054,11.837837838,3.648648649,0.945945946,3.783783784,13.756756757,20.729729730,7.243243243,5.864864865,2.027027027,2
2017,26,Los Angeles Kings (LAK),23,30.871794872,14,2.897435897,0.461538462,2.897435897,9.358974359,25.153846154,10.717948718,5.051282051,2.435897436,12
2017,21,Colorado Avalanche (COL),18,29.648648649,15.243243243,3.135135135,0.783783784,4.108108108,10.108108108,17.378378378,6.405405405,7.270270270,2.540540541,16
2013,27,Phoenix Coyotes (PHX),19,32.131578947,13.947368421,2.947368421,0.684210526,3.421052632,10.605263158,27.078947368,5.842105263,6.631578947,2.868421053,
2003,28,San Jose Sharks (SJS),14,27.027027027,8.837837838,2.513513514,0.837837838,4.324324324,15.378378378,14.135135135,8.621621622,3.972972973,2.621621622,3
2011,21,Colorado Avalanche (COL),20,31.641025641,12.666666667,2.512820513,0.615384615,3.256410256,12.051282051,21.717948718,6.076923077,9.435897436,2.846153846,
2016,2,NY Islanders Islanders (NYI),14,29.628571429,19,2.771428571,0.4,2.8,9.4,25.714285714,9.942857143,7.257142857,2.657142857,
2008,17,Detroit Red Wings (DET),24,36.611111111,9.166666667,3.555555556,1.138888889,4.222222222,10.583333333,18.444444444,7.027777778,5.916666667,1.916666667,3
2010,30,Minnesota Wild (MIN),17,25.432432432,13.810810811,2.486486486,0.810810811,3.810810811,11.297297297,23.378378378,7.864864865,6.378378378,2.405405405,
2016,19,St Louis Blues (STL),19,28.351351351,13.459459459,2.783783784,0.675675676,3.135135135,9.864864865,19.513513514,5.135135135,6.540540541,2.729729730,10
2010,18,Nashville Predators (NSH),18,29.432432432,11.594594595,2.351351351,0.486486486,3.567567568,9.621621622,20.864864865,7.972972973,7.648648649,2.351351351,10
2011,7,Buffalo Sabres (BUF),17,29.054054054,12.594594595,2.594594595,0.702702703,3.702702703,12.459459459,17.675675676,8.351351351,6.270270270,2.810810811,
2011,12,Carolina Hurricanes (CAR),13,29.975,15.1,2.575,0.575,4.2,9.925,20.125,7.425,6.775,2.425,
2005,10,Toronto Maple Leafs (TOR),21,27.921052632,14.052631579,3.236842105,1.342105263,6.473684211,17.368421053,20.921052632,10.526315789,5.789473684,2.131578947,
2018,54,Vegas Golden Knights (VGK),23,32.619047619,13.428571429,3.023809524,0.619047619,3.047619048,7.523809524,26.952380952,9.428571429,10.452380952,2.809523810,15
2010,6,Boston Bruins (BOS),20,33.194444444,15,2.805555556,0.638888889,3.527777778,13.861111111,22.555555556,5.916666667,5.027777778,2.305555556,7
2003,18,Nashville Predators (NSH),16,26.25,10.222222222,2.444444444,0.722222222,5.25,17.333333333,13.333333333,9.722222222,6.083333333,1.75,16
2013,19,St Louis Blues (STL),27,29.384615385,13.974358974,3.461538462,0.820512821,3.564102564,13.564102564,21.102564103,4.076923077,6.974358974,2.512820513,4
2018,23,Vancouver Canucks (VAN),19,28.333333333,14.880952381,2.928571429,0.571428571,3.214285714,9.928571429,21.642857143,7.404761905,6.214285714,2.785714286,
2003,15,Washington Capitals (WSH),11,25.216216216,11.054054054,2.567567568,0.945945946,4.216216216,13.135135135,12.567567568,13.081081081,7.297297297,2.702702703,
2003,9,Ottawa Senators (OTT),18,30,10.472222222,3.138888889,0.972222222,4.583333333,13.666666667,25.111111111,13.777777778,7.944444444,2.944444444,6
2013,14,Tampa Bay Lightning (TBL),23,29.512820513,12.179487179,2.692307692,0.564102564,3.461538462,10.871794872,21.025641026,7.461538462,6.589743590,2.615384615,8
2009,12,Carolina Hurricanes (CAR),10,30.512820513,12.692307692,2.461538462,0.666666667,4.256410256,13.487179487,28.307692308,6.923076923,7.820512821,2.102564103,
2005,8,Montreal Canadiens (MTL),18,31.222222222,12.305555556,2.777777778,1.138888889,6.305555556,16.861111111,19.027777778,11,11.5,2.222222222,15
2006,3,NY Rangers Rangers (NYR),19,30.1,17.3,2.875,0.975,5.425,14.3,21.35,10.175,7.65,2.5,14
2003,11,Atlanta Thrashers (ATL),19,26.615384615,11.897435897,2.948717949,0.743589744,4.897435897,17.923076923,16.282051282,10.025641026,5.923076923,2.666666667,
2011,3,NY Rangers Rangers (NYR),23,27.388888889,16.055555556,2.944444444,0.583333333,3.833333333,15.194444444,26.666666667,6.222222222,7.166666667,2.027777778,2
2006,25,Dallas Stars (DAL),25,28,13.051282051,2.641025641,1,5.769230769,15.538461538,19.076923077,9.128205128,7.897435897,2.641025641,6
2014,13,Florida Panthers (FLA),16,31.4,12.028571429,2.2,0.428571429,3.114285714,9.257142857,27.428571429,4.771428571,5.685714286,2.457142857,
2009,7,Buffalo Sabres (BUF),24,30.871794872,12.487179487,2.692307692,0.717948718,4.333333333,12.076923077,16.487179487,10.846153846,5.794871795,2.692307692,11
2011,30,Minnesota Wild (MIN),21,26.675,16.2,2.275,0.525,3.45,12.05,21.925,7.15,6.55,2.575,
2017,52,Winnipeg Jets (WPG),22,31.717948718,15.076923077,3.282051282,0.846153846,3.641025641,8.974358974,21.974358974,9.923076923,6.820512821,2.897435897,2
2013,7,Buffalo Sabres (BUF),11,26.487179487,13.974358974,1.692307692,0.384615385,3.025641026,11.205128205,25.461538462,7.076923077,6.051282051,2.846153846,
2009,21,Colorado Avalanche (COL),23,25.902439024,16.439024390,2.926829268,0.682926829,3.878048780,12.878048780,17.975609756,7.390243902,8.195121951,2.926829268,12
2017,19,St Louis Blues (STL),24,33.243902439,15.170731707,2.853658537,0.536585366,3.463414634,8.317073171,22.317073171,5.365853659,7.780487805,2.707317073,
2018,10,Toronto Maple Leafs (TOR),26,31.666666667,13.641025641,3.692307692,0.641025641,2.692307692,6.743589744,16.666666667,11.820512821,9.282051282,2.743589744,7
2017,15,Washington Capitals (WSH),24,28.825,14.725,3,0.6,3.075,10.325,22.525,11.725,7.125,2.75,6
2009,2,NY Islanders Islanders (NYI),16,29.512195122,17.609756098,2.365853659,0.585365854,3.853658537,11.658536585,22.121951220,9.926829268,11.268292683,2.804878049,
2008,14,Tampa Bay Lightning (TBL),10,30,13.277777778,2.305555556,0.666666667,4.555555556,15.305555556,21.222222222,8.027777778,6.416666667,2.416666667,
2006,8,Montreal Canadiens (MTL),22,29.631578947,15.526315789,3,1.026315789,4.526315789,15.342105263,21.526315789,11.026315789,9.894736842,2.473684211,
2011,27,Phoenix Coyotes (PHX),19,29.923076923,13.051282051,2.564102564,0.410256410,3.128205128,8.512820513,24.410256410,6.051282051,5.846153846,2.512820513,11
2015,53,Arizona Coyotes (ARI),17,26.888888889,12.638888889,2.777777778,0.611111111,3.75,11.111111111,21.972222222,5.777777778,5.472222222,2.861111111,
