Season,team_id,Team,Total Wins
2011,21,Colorado Avalanche (COL),35
2016,2,NY Islanders Islanders (NYI),52
2008,17,Detroit Red Wings (DET),40
2010,30,Minnesota Wild (MIN),39
2016,19,St Louis Blues (STL),48
2010,18,Nashville Predators (NSH),31
2011,7,Buffalo Sabres (BUF),30
2011,12,Carolina Hurricanes (CAR),30
2005,10,Toronto Maple Leafs (TOR),48
2018,54,Vegas Golden Knights (VGK),30
2010,6,Boston Bruins (BOS),42
2003,18,Nashville Predators (NSH),45
2013,19,St Louis Blues (STL),56
2018,23,Vancouver Canucks (VAN),41
2003,15,Washington Capitals (WSH),36
2003,9,Ottawa Senators (OTT),38
2009,12,Carolina Hurricanes (CAR),13
2013,14,Tampa Bay Lightning (TBL),40
2005,8,Montreal Canadiens (MTL),23
2006,3,NY Rangers Rangers (NYR),56
2003,11,Atlanta Thrashers (ATL),47
2011,3,NY Rangers Rangers (NYR),63
2006,25,Dallas Stars (DAL),56
2014,13,Florida Panthers (FLA),36
2011,30,Minnesota Wild (MIN),57
2009,7,Buffalo Sabres (BUF),48
2017,52,Winnipeg Jets (WPG),48
2013,7,Buffalo Sabres (BUF),24
2009,21,Colorado Avalanche (COL),61
2017,19,St Louis Blues (STL),49
2018,10,Toronto Maple Leafs (TOR),49
2017,15,Washington Capitals (WSH),32
2009,2,NY Islanders Islanders (NYI),55
2008,14,Tampa Bay Lightning (TBL),22
2006,8,Montreal Canadiens (MTL),26
2011,27,Phoenix Coyotes (PHX),33
2015,53,Arizona Coyotes (ARI),35
